param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,param_alpha,mean_test_score,rank_test_score,mean_train_score
"(19,)",identity,100,400,0.0001,-0.14499668403437085,160,-0.14439216884548212
"(19,)",identity,100,800,0.0001,-0.14500347801715258,162,-0.1443406363844618
"(21,)",identity,100,200,0.0001,-0.1450655042218138,174,-0.14496365921673207
"(21,)",identity,100,400,0.0001,-0.14422298779607393,47,-0.1447979428887985
"(21,)",identity,100,800,0.0001,-0.14422298779607393,47,-0.1448791201676724
"(1,)",identity,200,200,0.0001,-0.159710708808448,1035,-0.15814444685797377
"(1,)",identity,200,400,0.0001,-0.14781550882997468,609,-0.1468867494494825
"(1,)",identity,200,800,0.0001,-0.14344780962438303,8,-0.1437224079469778
"(3,)",identity,200,200,0.0001,-0.1561046814168861,1025,-0.15535020206247158
"(3,)",identity,200,400,0.0001,-0.1472368567845077,546,-0.14686951726847985
"(3,)",identity,200,800,0.0001,-0.14552611498827378,256,-0.1455322320337027
"(5,)",identity,200,200,0.0001,-0.15147357243759146,989,-0.15101806194787387
"(5,)",identity,200,400,0.0001,-0.1483294350843427,635,-0.1468955089320175
"(5,)",identity,200,800,0.0001,-0.14608914789750377,328,-0.14510419841448452
"(7,)",identity,200,200,0.0001,-0.14707298790027307,522,-0.1458284756964982
"(7,)",identity,200,400,0.0001,-0.14738883157144161,563,-0.14464476322498218
"(7,)",identity,200,800,0.0001,-0.14617488213992105,343,-0.1450994501052913
"(9,)",identity,200,200,0.0001,-0.15098752807883678,957,-0.1497868676062926
"(9,)",identity,200,400,0.0001,-0.14663090257301475,439,-0.14547491395498185
"(9,)",identity,200,800,0.0001,-0.14543160673488176,241,-0.14493034339663433
"(11,)",identity,200,200,0.0001,-0.1476812493374566,595,-0.14795758388347277
"(11,)",identity,200,400,0.0001,-0.14618944254654315,348,-0.14625682471200818
"(11,)",identity,200,800,0.0001,-0.14622935705406995,360,-0.14545109418696014
"(13,)",identity,200,200,0.0001,-0.14834926293457537,638,-0.1473751676097111
"(13,)",identity,200,400,0.0001,-0.14680137341977373,474,-0.14603921134770997
"(13,)",identity,200,800,0.0001,-0.14724791436308576,548,-0.14542499272565904
"(15,)",identity,200,200,0.0001,-0.14887960422147684,677,-0.14800998418592481
"(15,)",identity,200,400,0.0001,-0.1467111897770531,458,-0.14560945087432284
"(15,)",identity,200,800,0.0001,-0.14473674272449621,120,-0.14515581513138393
