param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,mean_test_score,rank_test_score,mean_train_score
"(9,)",identity,100,800,-0.1847583481710457,376,-0.1819372953041369
"(11,)",identity,100,200,-0.1350225948974432,22,-0.13339583156677404
"(11,)",identity,100,400,-0.1350225948974432,22,-0.13339583156677404
"(11,)",identity,100,800,-0.1350225948974432,22,-0.13339583156677404
"(13,)",identity,100,200,-0.1437957188074678,136,-0.14166564118384634
"(13,)",identity,100,400,-0.1437957188074678,136,-0.14166564118384634
"(13,)",identity,100,800,-0.1437957188074678,136,-0.14166564118384634
"(15,)",identity,100,200,-0.14408080162075226,139,-0.14241448280801214
"(15,)",identity,100,400,-0.14408080162075226,139,-0.14241448280801214
"(15,)",identity,100,800,-0.14408080162075226,139,-0.14241448280801214
"(17,)",identity,100,200,-0.141239706022089,106,-0.13916446709698377
"(17,)",identity,100,400,-0.141239706022089,106,-0.13916446709698377
"(17,)",identity,100,800,-0.141239706022089,106,-0.13916446709698377
"(19,)",identity,100,200,-0.14936589572083775,172,-0.14762965224579203
"(19,)",identity,100,400,-0.14936589572083775,172,-0.14762965224579203
"(19,)",identity,100,800,-0.14936589572083775,172,-0.14762965224579203
"(21,)",identity,100,200,-0.13734877671527465,58,-0.1351714453864567
"(21,)",identity,100,400,-0.13734877671527465,58,-0.1351714453864567
"(21,)",identity,100,800,-0.13734877671527465,58,-0.1351714453864567
"(1,)",identity,200,200,-0.24653724150964756,394,-0.24629729332753175
"(1,)",identity,200,400,-0.24653724150964756,394,-0.24629729332753175
"(1,)",identity,200,800,-0.24653724150964756,394,-0.24629729332753175
"(3,)",identity,200,200,-0.17741557750758666,358,-0.17734502428679988
"(3,)",identity,200,400,-0.17741557750758666,358,-0.17734502428679988
"(3,)",identity,200,800,-0.17741557750758666,358,-0.17734502428679988
"(5,)",identity,200,200,-0.175286583660978,352,-0.17514800523276905
"(5,)",identity,200,400,-0.175286583660978,352,-0.17514800523276905
"(5,)",identity,200,800,-0.175286583660978,352,-0.17514800523276905
"(7,)",identity,200,200,-0.18141857880263884,367,-0.1810937045603649
"(7,)",identity,200,400,-0.18141857880263884,367,-0.1810937045603649
"(7,)",identity,200,800,-0.18141857880263884,367,-0.1810937045603649
"(9,)",identity,200,200,-0.20534579783332668,384,-0.20277077912449282
"(9,)",identity,200,400,-0.20534579783332668,384,-0.20277077912449282
"(9,)",identity,200,800,-0.20534579783332668,384,-0.20277077912449282
"(11,)",identity,200,200,-0.1368913512121085,40,-0.13468119414945018
"(11,)",identity,200,400,-0.1368913512121085,40,-0.13468119414945018
"(11,)",identity,200,800,-0.1368913512121085,40,-0.13468119414945018
"(13,)",identity,200,200,-0.14895570044352618,169,-0.14698906975831677
"(13,)",identity,200,400,-0.14895570044352618,169,-0.14698906975831677
"(13,)",identity,200,800,-0.14895570044352618,169,-0.14698906975831677
"(15,)",identity,200,200,-0.1509592740371341,193,-0.149331935462933
"(15,)",identity,200,400,-0.1509592740371341,193,-0.149331935462933
"(15,)",identity,200,800,-0.1509592740371341,193,-0.149331935462933
"(17,)",identity,200,200,-0.14547431920555473,145,-0.14333797775387766
"(17,)",identity,200,400,-0.14547431920555473,145,-0.14333797775387766
"(17,)",identity,200,800,-0.14547431920555473,145,-0.14333797775387766
"(19,)",identity,200,200,-0.15760740456275887,235,-0.15592151592796857
"(19,)",identity,200,400,-0.15760740456275887,235,-0.15592151592796857
"(19,)",identity,200,800,-0.15760740456275887,235,-0.15592151592796857
"(21,)",identity,200,200,-0.14219731530529697,124,-0.1407814453810481
"(21,)",identity,200,400,-0.14219731530529697,124,-0.1407814453810481
"(21,)",identity,200,800,-0.14219731530529697,124,-0.1407814453810481
"(1,)",logistic,50,200,-0.16432729067696422,307,-0.1641979219524245
"(1,)",logistic,50,400,-0.16432729067696422,307,-0.1641979219524245
"(1,)",logistic,50,800,-0.16432729067696422,307,-0.1641979219524245
"(3,)",logistic,50,200,-0.15980980019305713,259,-0.15966492879994224
"(3,)",logistic,50,400,-0.15980980019305713,259,-0.15966492879994224
"(3,)",logistic,50,800,-0.15980980019305713,259,-0.15966492879994224
"(5,)",logistic,50,200,-0.16183795225763448,271,-0.1616557137485921
"(5,)",logistic,50,400,-0.16183795225763448,271,-0.1616557137485921
"(5,)",logistic,50,800,-0.16183795225763448,271,-0.1616557137485921
"(7,)",logistic,50,200,-0.136260831101447,34,-0.13531303743868334
"(7,)",logistic,50,400,-0.136260831101447,34,-0.13531303743868334
"(7,)",logistic,50,800,-0.136260831101447,34,-0.13531303743868334
"(9,)",logistic,50,200,-0.1556929850126591,223,-0.15546757326231114
"(9,)",logistic,50,400,-0.1556929850126591,223,-0.15546757326231114
"(9,)",logistic,50,800,-0.1556929850126591,223,-0.15546757326231114
"(11,)",logistic,50,200,-0.15446449185799216,211,-0.1541958108529891
"(11,)",logistic,50,400,-0.15446449185799216,211,-0.1541958108529891
"(11,)",logistic,50,800,-0.15446449185799216,211,-0.1541958108529891
"(13,)",logistic,50,200,-0.1345056233698522,13,-0.13356759540848143
"(13,)",logistic,50,400,-0.1345056233698522,13,-0.13356759540848143
"(13,)",logistic,50,800,-0.1345056233698522,13,-0.13356759540848143
"(15,)",logistic,50,200,-0.13734735981752758,55,-0.1362243811104261
"(15,)",logistic,50,400,-0.13734735981752758,55,-0.1362243811104261
"(15,)",logistic,50,800,-0.13734735981752758,55,-0.1362243811104261
