param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,mean_test_score,rank_test_score,mean_train_score
"(3,)",identity,200,200,-0.8177483497342092,259,-0.8048709672343387
"(3,)",identity,200,400,-0.8184477203669251,288,-0.8049208018500627
"(3,)",identity,200,800,-0.8184477203669251,288,-0.8049208018500627
"(5,)",identity,200,200,-0.8168767263462954,232,-0.803852450502817
"(5,)",identity,200,400,-0.8168767263462954,232,-0.803852450502817
"(5,)",identity,200,800,-0.8168767263462954,232,-0.803852450502817
"(7,)",identity,200,200,-0.8199169112109208,310,-0.8050046471604345
"(7,)",identity,200,400,-0.8199169112109208,310,-0.8050046471604345
"(7,)",identity,200,800,-0.8199169112109208,310,-0.8050046471604345
"(9,)",identity,200,200,-0.816303937318138,218,-0.8036046984835629
"(9,)",identity,200,400,-0.816303937318138,218,-0.8036046984835629
"(9,)",identity,200,800,-0.816303937318138,218,-0.8036046984835629
"(11,)",identity,200,200,-0.8185280443064944,291,-0.8041840037113495
"(11,)",identity,200,400,-0.8185280443064944,291,-0.8041840037113495
"(11,)",identity,200,800,-0.8185280443064944,291,-0.8041840037113495
"(13,)",identity,200,200,-0.8201153124093497,313,-0.8043023361768725
"(13,)",identity,200,400,-0.8201153124093497,313,-0.8043023361768725
"(13,)",identity,200,800,-0.8201153124093497,313,-0.8043023361768725
"(15,)",identity,200,200,-0.8207298361509505,330,-0.8042988940331048
"(15,)",identity,200,400,-0.8207298361509505,330,-0.8042988940331048
"(15,)",identity,200,800,-0.8207298361509505,330,-0.8042988940331048
"(17,)",identity,200,200,-0.8206083173266304,327,-0.804577913857934
"(17,)",identity,200,400,-0.8206083173266304,327,-0.804577913857934
"(17,)",identity,200,800,-0.8206083173266304,327,-0.804577913857934
"(19,)",identity,200,200,-0.8177391060853865,256,-0.8034384372629747
"(19,)",identity,200,400,-0.8177391060853865,256,-0.8034384372629747
"(19,)",identity,200,800,-0.8177391060853865,256,-0.8034384372629747
"(21,)",identity,200,200,-0.8182814575049268,274,-0.8041478652694345
"(21,)",identity,200,400,-0.8182814575049268,274,-0.8041478652694345
"(21,)",identity,200,800,-0.8182814575049268,274,-0.8041478652694345
"(1,)",logistic,50,200,-0.8210661145257234,334,-0.8043325324888562
"(1,)",logistic,50,400,-0.8210661145257234,334,-0.8043325324888562
"(1,)",logistic,50,800,-0.8210661145257234,334,-0.8043325324888562
"(3,)",logistic,50,200,-0.8108214418800358,147,-0.7951411122590648
"(3,)",logistic,50,400,-0.8108110817759929,145,-0.7950779875446006
"(3,)",logistic,50,800,-0.8108110817759929,145,-0.7950779875446006
"(5,)",logistic,50,200,-0.799207704610075,68,-0.7798934860211818
"(5,)",logistic,50,400,-0.7876577074174872,18,-0.7586467007733433
"(5,)",logistic,50,800,-0.787444566559648,15,-0.7549892663358427
"(7,)",logistic,50,200,-0.8048525239621203,93,-0.7847979170171209
"(7,)",logistic,50,400,-0.7966093998689917,57,-0.760859886712719
"(7,)",logistic,50,800,-0.7961533663337563,55,-0.7486309045774554
"(9,)",logistic,50,200,-0.8004908571384141,74,-0.7794515933112808
"(9,)",logistic,50,400,-0.7861158770262378,10,-0.7515204182638053
"(9,)",logistic,50,800,-0.7896900994567015,25,-0.7359441038881018
"(11,)",logistic,50,200,-0.7945424927007805,49,-0.7698263729711403
"(11,)",logistic,50,400,-0.7847649561974285,6,-0.7434927043129717
"(11,)",logistic,50,800,-0.7838402623176967,4,-0.7097468968316403
"(13,)",logistic,50,200,-0.7943740316791922,47,-0.7718140277288805
"(13,)",logistic,50,400,-0.7814536111793673,2,-0.7409848993611305
"(13,)",logistic,50,800,-0.7793638536322796,1,-0.7031936585797243
